Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -11.52, -0.31, 8.49, -0.07, -0.12, -0.74
50, -6.61, -1.64, 6.00, -0.20, -0.38, -1.31
100, -7.77, -1.83, 6.16, 0.15, -0.19, -1.43
150, -6.15, -1.78, 6.82, 0.12, -0.34, -1.82
200, -2.90, -2.64, 6.73, 0.29, -0.41, -1.58
250, -3.81, -2.89, 8.35, 0.21, -0.47, -1.26
300, -3.60, -3.14, 7.03, 0.31, -0.26, -1.28
350, -3.02, -3.15, 9.32, 0.28, -0.33, -1.16
400, -3.15, -3.54, 8.10, 0.16, -0.30, -1.07
450, -3.65, -3.72, 7.54, 0.19, -0.36, -1.04
500, -3.07, -3.86, 7.07, 0.26, -0.27, -1.19
550, -0.54, -4.01, 7.58, 0.45, -0.86, -0.91
600, -1.90, -3.75, 8.15, 0.42, -0.84, -0.72
650, -1.45, -3.46, 6.93, 0.64, -0.71, -0.73
700, -0.44, -2.82, 10.30, 0.70, -0.93, -0.89
750, 0.62, -2.99, 9.12, 0.60, -0.42, -0.75
800, 2.19, -2.52, 10.35, 0.54, -0.21, -0.64
850, -1.83, -2.31, 10.10, 0.50, -0.52, -0.53
900, 4.33, -2.85, 7.38, 0.59, 0.23, -0.40
950, 7.62, -3.00, 5.34, 1.17, 1.50, 0.17
