Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -12.07, -0.36, 8.29, -0.06, -0.25, 1.70
50, -33.70, 0.53, 0.60, -0.00, -0.82, -0.46
100, -26.27, 14.81, 2.82, 2.31, 0.25, -4.37
150, 17.86, 14.88, 23.79, 0.83, -1.36, -4.37
200, 23.80, -4.37, 4.47, -0.59, -0.83, -2.73
250, 8.80, -4.15, 10.69, 0.27, 0.45, -0.51
300, 2.82, -4.10, 9.33, 0.15, 0.16, 0.10
350, -0.42, -3.59, 9.30, 0.02, 0.30, 0.17
400, -1.45, -3.89, 9.73, 0.04, 0.14, -0.04
450, 0.46, -4.24, 8.52, -0.10, 0.17, -0.03
500, -1.03, -4.02, 8.49, 0.23, 0.22, 0.04
550, -1.41, -3.30, 10.07, -0.02, -0.02, 0.08
600, -3.28, -3.33, 8.99, 0.11, 0.15, -0.27
650, 0.45, -4.25, 5.86, -0.10, -0.02, -0.14
700, -2.55, -3.56, 6.20, 0.65, 0.44, -0.26
750, -1.40, -3.45, 3.93, 0.76, 0.88, -0.59
800, -2.57, -3.11, -0.58, 1.37, 1.57, -0.81
850, 5.66, -2.68, -15.58, 3.30, 0.87, -0.31
900, 3.47, 13.99, 15.44, 4.37, 0.51, 1.95
950, -19.27, 13.05, 32.99, 1.24, -0.39, 0.63
