Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -11.77, 2.52, 8.92, -0.89, -1.08, -0.91
50, -7.75, 1.52, 5.05, -0.78, -0.98, -1.35
100, -1.66, -0.09, 5.90, -0.81, -0.62, -0.59
150, 5.66, -1.16, -0.16, 0.14, 0.22, 0.69
200, -0.79, 2.59, 7.30, 0.63, 1.94, 2.91
250, -10.52, 3.95, -0.85, 0.38, 1.65, 2.79
300, -23.67, 5.03, 12.44, 0.51, 1.44, 1.74
350, -39.72, 8.99, 11.22, -1.58, 1.04, -2.50
400, -19.90, 15.42, 5.34, -2.16, -0.85, -4.37
450, 1.61, 10.84, -0.89, -2.69, -1.33, -4.37
500, 10.26, 1.12, -4.72, -2.06, -1.03, -4.37
550, 15.65, -8.54, -6.19, -0.70, -0.61, -1.46
600, 5.70, -7.45, -8.86, 1.03, 0.70, 1.22
650, 0.70, -2.19, -8.17, 2.71, 0.75, 2.36
700, 9.56, 5.61, -6.11, 4.37, 1.22, 4.00
750, -14.11, 16.61, 18.25, 4.37, 0.38, 4.37
800, -37.29, 8.15, 13.04, 0.73, 1.16, 1.81
850, -20.44, 4.97, 16.17, -0.29, -0.40, -1.20
900, -11.77, 4.04, 18.07, -1.83, -0.15, -1.88
950, -7.45, 5.70, 6.23, -3.44, -0.01, -2.24
