Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -13.08, 4.92, 17.84, -1.18, -0.03, 2.95
50, -10.69, 3.36, 14.13, -1.87, 0.64, 1.56
100, -15.76, 4.49, 12.76, -2.58, 1.01, 0.90
150, -16.32, 3.43, 5.73, -3.21, 0.23, -0.66
200, -14.21, 1.79, -0.83, -2.51, 0.86, -2.35
250, -13.20, 2.45, -0.34, -1.11, 1.13, -3.46
300, 1.74, -0.27, -4.08, -0.06, 1.86, -4.35
350, 5.51, -3.37, -5.55, 1.81, 2.11, -2.15
400, -2.78, -2.10, -0.15, 2.52, 1.24, -1.16
450, 2.29, -1.61, 5.49, 2.78, 0.22, -0.26
500, 2.19, -2.50, 6.40, 2.32, -0.01, 0.88
550, -0.14, -0.56, 9.26, 1.94, -0.26, 1.76
600, -3.76, 0.64, 13.28, 1.26, -0.65, 2.01
650, -1.58, 0.70, 16.35, 0.54, -0.39, 2.18
700, -7.61, 1.02, 19.41, -0.50, -0.44, 2.49
750, -10.30, 1.70, 14.26, -1.80, -0.31, 2.14
800, -18.61, 3.05, 14.28, -2.04, -0.00, 0.86
850, -16.86, 2.88, 5.20, -2.60, 0.33, -0.62
900, -12.27, -0.11, -4.23, -1.19, 0.50, -2.12
950, -4.89, -3.61, -14.29, 1.05, 0.51, -2.18
