Time, AccX, AccY, AccZ, GyroX, GyroY, GyroZ
0, -0.73, 2.59, 8.92, -0.05, -0.01, -0.02
50, -1.19, 2.72, 9.08, 0.00, -0.03, -0.05
100, -0.16, 2.73, 9.74, -0.03, -0.01, -0.04
150, -1.26, 3.01, 9.96, -0.10, -0.01, 0.00
200, -0.89, 3.09, 10.54, -0.11, -0.02, -0.07
250, -0.58, 3.43, 11.97, -0.23, 0.08, -0.17
300, 0.20, 2.92, 11.76, -0.59, 0.10, -0.12
350, -0.44, 2.50, 11.36, -0.63, 0.13, 0.05
400, -2.68, 2.91, 12.01, -0.81, 0.14, 0.01
450, -1.18, 1.88, 9.75, -0.98, 0.19, -0.18
500, 0.31, 1.04, 9.30, -0.87, 0.10, -0.08
550, -0.83, 0.35, 8.48, -0.83, 0.15, -0.03
600, -1.61, -0.50, 6.77, -0.59, 0.18, 0.01
650, -1.01, -0.43, 6.96, -0.18, 0.27, -0.16
700, -1.11, 0.20, 10.69, -0.39, 0.09, 0.06
750, -2.48, -0.45, 8.31, -0.28, 0.08, -0.12
800, -1.36, -0.10, 9.98, -0.46, -0.02, -0.07
850, -1.57, -1.18, 7.75, -0.43, -0.06, -0.14
900, -1.18, -1.52, 7.56, -0.24, -0.13, -0.06
950, -1.01, -1.50, 7.95, -0.10, -0.18, -0.10
